Date,(Mkt-RF)*,SMB*,HML*
10/4/2016,-0.0053284,-0.0001392,0.0015244
10/5/2016,0.0050716,0.0028608,0.0077244
10/6/2016,-0.0013284,-0.0027392,0.0035244
10/7/2016,-0.0045284,-0.0051392,0.0014244
10/10/2016,0.0044716,0.0056608,-7.56E-05
10/11/2016,-0.0137284,-0.0059392,0.0047244
10/12/2016,-0.0001284,-0.0023392,0.0035244
10/13/2016,-0.0049284,-0.0068392,-0.0064756
10/14/2016,-0.0006284,-0.0035392,0.0055244
10/17/2016,-0.0036284,-0.0005392,0.0012244
10/18/2016,0.0052716,-0.0016392,0.0001244
10/19/2016,0.0017716,0.0003608,0.0089244
10/20/2016,-0.0023284,-0.0002392,-0.0012756
10/21/2016,-0.0005284,-0.0012392,-0.0033756
10/24/2016,0.0046716,0.0005608,-0.0017756
10/25/2016,-0.0053284,-0.0058392,0.0020244
10/26/2016,-0.0030284,-0.0085392,0.0072244
10/27/2016,-0.0040284,-0.0096392,0.0058244
10/28/2016,-0.0036284,-0.0010392,0.0008244
10/31/2016,-0.0005284,0.0002608,0.0012244
11/1/2016,-0.0075284,-0.0035392,0.0015244
11/2/2016,-0.0080284,-0.0066392,0.0034244
11/3/2016,-0.0047284,-0.0046392,0.0100244
11/4/2016,-0.0019284,0.0085608,-0.0044756
11/7/2016,0.0215716,0.0019608,-0.0016756
11/8/2016,0.0032716,-0.0008392,-0.0020756
11/9/2016,0.0138716,0.0181608,0.0097244
11/10/2016,0.0024716,0.0112608,0.0178244
11/11/2016,0.0010716,0.0249608,-0.0005756
11/14/2016,0.0013716,0.0057608,0.0140244
11/15/2016,0.0072716,-0.0055392,0.0013244
11/16/2016,-0.0019284,0.0029608,-0.0057756
11/17/2016,0.0048716,0.0012608,-0.0014756
11/18/2016,-0.0023284,0.0055608,0.0037244
11/21/2016,0.0069716,-0.0025392,0.0007244
11/22/2016,0.0023716,0.0053608,0.0057244
11/23/2016,0.0008716,0.0051608,0.0016244
