Date,SMB,HML
10/4/2016,-0.0001,0.0017
10/5/2016,0.0029,0.0079
10/6/2016,-0.0027,0.0037
10/7/2016,-0.0051,0.0016
10/10/2016,0.0057,0.0001
10/11/2016,-0.0059,0.0049
10/12/2016,-0.0023,0.0037
10/13/2016,-0.0068,-0.0063
10/14/2016,-0.0035,0.0057
10/17/2016,-0.0005,0.0014
10/18/2016,-0.0016,0.0003
10/19/2016,0.0004,0.0091
10/20/2016,-0.0002,-0.0011
10/21/2016,-0.0012,-0.0032
10/24/2016,0.0006,-0.0016
10/25/2016,-0.0058,0.0022
10/26/2016,-0.0085,0.0074
10/27/2016,-0.0096,0.006
10/28/2016,-0.001,0.001
10/31/2016,0.0003,0.0014
11/1/2016,-0.0035,0.0017
11/2/2016,-0.0066,0.0036
11/3/2016,-0.0046,0.0102
11/4/2016,0.0086,-0.0043
11/7/2016,0.002,-0.0015
11/8/2016,-0.0008,-0.0019
11/9/2016,0.0182,0.0099
11/10/2016,0.0113,0.018
11/11/2016,0.025,-0.0004
11/14/2016,0.0058,0.0142
11/15/2016,-0.0055,0.0015
11/16/2016,0.003,-0.0056
11/17/2016,0.0013,-0.0013
11/18/2016,0.0056,0.0039
11/21/2016,-0.0025,0.0009
11/22/2016,0.0054,0.0059
11/23/2016,0.0052,0.0018
11/25/2016,-0.0008,-0.0025
11/28/2016,-0.0077,0.0006
11/29/2016,-0.0035,-0.0007
11/30/2016,-0.004,0.0224
12/1/2016,-0.0067,0.0204
12/2/2016,0.0005,-0.0032
12/5/2016,0.011,0.0028
12/6/2016,0.0063,0.0023
12/7/2016,-0.0062,0.0053
12/8/2016,0.0115,0.0059
12/9/2016,-0.0027,0.0013
12/12/2016,-0.0094,-0.001
12/13/2016,-0.0051,-0.0028
12/14/2016,-0.0035,-0.0028
12/15/2016,0.0037,0.0028
12/16/2016,0.0005,-0.0042
12/19/2016,0.0031,0.0009
12/20/2016,0.0043,0.0068
12/21/2016,-0.0038,0.0023
12/22/2016,-0.0075,0.0024
12/23/2016,0.0056,-0.0051
12/27/2016,0.0021,0.0013
12/28/2016,-0.0027,0.0009
12/29/2016,0.0013,-0.0031
12/30/2016,-0.0011,0.002
1/3/2017,-0.0011,0.0008
1/4/2017,0.0095,-0.0015
1/5/2017,-0.0087,-0.008
1/6/2017,-0.0062,-0.0031
1/9/2017,-0.0027,-0.0104
1/10/2017,0.0097,0.0056
1/11/2017,-0.0032,0.0053
1/12/2017,-0.0057,-0.0088
1/13/2017,0.0063,-0.0008
1/17/2017,-0.0086,-0.0059
1/18/2017,0.0018,0.0024
1/19/2017,-0.005,-0.0004
1/20/2017,0.0007,0.0019
1/23/2017,-0.0002,-0.0031
1/24/2017,0.0068,0.0081
1/25/2017,0.0016,0.0036
1/26/2017,-0.0062,0.0038
1/27/2017,0.0003,-0.0066
1/30/2017,-0.0072,-0.0042
1/31/2017,0.0088,-0.0055
2/1/2017,-0.0004,0.0003
2/2/2017,-0.0026,-0.0031
2/3/2017,0.0055,0.0064
2/6/2017,-0.0057,-0.002
2/7/2017,-0.003,-0.0052
2/8/2017,-0.0024,-0.0053
2/9/2017,0.007,0.0002
2/10/2017,0.0039,0.0012
2/13/2017,-0.0032,0.0032
2/14/2017,-0.0023,0.0033
2/15/2017,0.0019,-0.0044
2/16/2017,-0.0021,-0.0003
2/17/2017,-0.0001,-0.0057
2/21/2017,-0.0004,0.0013
2/22/2017,-0.0037,0.0011
2/23/2017,-0.0068,0.0026
2/24/2017,0.0004,-0.0092
2/27/2017,0.0082,-0.0034
2/28/2017,-0.0138,0.002
3/1/2017,0.0043,0.0072
3/2/2017,-0.0053,-0.0088
