GameID	Week	Date	HomeTeam	HomeID	HomePts	AwayTeam	AwayID	AwayPts	Spread	TotalPts
1	1	8/26/2017	Brigham Young	17	20	Non-FBS Team	131	6	14	26
2	1	8/26/2017	Colorado St	26	58	Oregon St	86	27	31	85
3	1	8/26/2017	Massachusetts	58	35	Hawai`i	40	38	-3	73
4	1	8/26/2017	San José St	93	22	South Florida	97	42	-20	64
5	1	8/26/2017	Stanford	100	62	Rice	90	7	55	69
6	2	8/31/2017	Arizona St	7	37	New Mexico St	73	31	6	68
7	2	8/31/2017	Arkansas	8	49	Non-FBS Team	131	7	42	56
8	2	8/31/2017	Central Florida	20	61	Florida Int'l	33	17	44	78
9	2	8/31/2017	Central Michigan	21	30	Non-FBS Team	131	27	3	57
10	2	8/31/2017	Cincinnati	22	26	Non-FBS Team	131	14	12	40
11	2	8/31/2017	Connecticut	27	27	Non-FBS Team	131	20	7	47
12	2	8/31/2017	Georgia St	38	10	Non-FBS Team	131	17	-7	27
13	2	8/31/2017	Idaho	42	28	Non-FBS Team	131	6	22	34
14	2	8/31/2017	Indiana	44	21	Ohio State	80	49	-28	70
15	2	8/31/2017	Memphis	59	37	Louisiana-Monroe	53	29	8	66
16	2	8/31/2017	Minnesota	65	17	Buffalo	18	7	10	24
17	2	8/31/2017	Oklahoma St	83	59	Tulsa	113	24	35	83
18	2	8/31/2017	Toledo	110	47	Non-FBS Team	131	13	34	60
19	2	8/31/2017	Utah	117	37	Non-FBS Team	131	16	21	53
20	2	8/31/2017	Wake Forest	123	51	Non-FBS Team	131	7	44	58
21	2	9/1/2017	Army	10	64	Non-FBS Team	131	6	58	70
22	2	9/1/2017	Colorado	25	17	Colorado St	26	3	14	20
23	2	9/1/2017	Eastern Michigan	30	24	UNC-Charlotte	115	7	17	31
24	2	9/1/2017	Florida Atlantic	32	19	Navy	69	42	-23	61
25	2	9/1/2017	Northern Illinois	77	20	Boston College	15	23	-3	43
26	2	9/1/2017	Rutgers	91	14	Washington	124	30	-16	44
27	2	9/1/2017	Syracuse	101	50	Non-FBS Team	131	7	43	57
28	2	9/1/2017	Wisconsin	129	59	Utah St	118	10	49	69
29	2	9/2/2017	Air Force	1	62	Non-FBS Team	131	0	62	62
30	2	9/2/2017	Alabama	3	24	Florida St	34	7	17	31
31	2	9/2/2017	Alabama-Birmingham	4	38	Non-FBS Team	131	7	31	45
32	2	9/2/2017	Arizona	6	62	Non-FBS Team	131	24	38	86
33	2	9/2/2017	Auburn	11	41	Georgia Southern	37	7	34	48
34	2	9/2/2017	Baylor	13	45	Non-FBS Team	131	48	-3	93
35	2	9/2/2017	Boise St	14	24	Troy	111	13	11	37
36	2	9/2/2017	Clemson	23	56	Kent St	49	3	53	59
37	2	9/2/2017	Coastal Carolina	24	38	Massachusetts	58	28	10	66
38	2	9/2/2017	Duke	28	60	Non-FBS Team	131	7	53	67
39	2	9/2/2017	East Carolina	29	14	Non-FBS Team	131	34	-20	48
40	2	9/2/2017	Florida	31	17	Michigan	62	33	-16	50
41	2	9/2/2017	Fresno St	35	66	Non-FBS Team	131	0	66	66
42	2	9/2/2017	Georgia	36	31	Appalachian St	5	10	21	41
43	2	9/2/2017	Hawai`i	40	41	Non-FBS Team	131	18	23	59
44	2	9/2/2017	Illinois	43	24	Ball St	12	21	3	45
45	2	9/2/2017	Iowa	45	24	Wyoming	130	3	21	27
46	2	9/2/2017	Iowa St	46	42	Non-FBS Team	131	24	18	66
