Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANDV,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,ARE,ATVI
8/31/2016,46.98,36.3,157.38,106.1,64.1,86.97,42.02,115,102.31,62.56,43.76,89.81,204.58,67.4,49.42,64.57,12.07,117.12,74.18,234.54,59.83,45.18,89.55,49.41,54.9,79.97,92.9,67.53,68.96,71.22,125.86,29.84,7.4,48.75,142.05,170.06,101.08,113.38,769.16,75.42,95.09,125.08,111.35,48.24,49.7,53.47,143.87138,62.31,110.09,41.37
9/1/2016,46.99,36.24,158.76,106.73,64.03,87.15,42.3,115.06,102.9,63.06,43.14,90.63,210.19,67.37,49.15,64.41,12.01,116.16,73.87,237.76,59.41,45.38,89.26,49.42,55.07,81.3,93.76,67.26,68.66,71.84,125.63,30.29,7.35,48.78,139.81,170.13,99.89,113.82,770.62,73.31,94.58,123.36,111.35,48.18,49.79,53.54,144.50005,62.33,109.99,42.15
9/2/2016,47,36.53,158.57,107.73,64.12,87.44,42.09,115.66,103.57,63.15,43.82,90.39,209.9,68.01,49.66,65.24,12.23,116.73,73.99,235.96,59.86,45.82,90.24,49.99,55.33,81.96,95.78,68.21,68.95,72.39,123.67,30.02,7.51,49.15,140.45,169.77,101.11,115.09,772.44,74.55,95.66,124.24,112.1,48.49,51.29,56.49,145.23041,62.58,111.85,42.8
9/6/2016,46.95,36.96,160.14,107.7,64.61,87.63,42.16,115.36,103.5,62.73,43.94,89.86,213.08,67.69,49.84,66.04,12.84,116.37,73.66,239.12,59.45,46.75,89.88,50.05,55.5,83.04,95.26,69,69.31,72.07,125.85,29.98,7.34,48.92,141.81,170.84,100.66,117.15,788.87,76.65,95.3,124.29,112.21,47.89,51.67,57.19,145.517,62.66,112.41,43.51
9/7/2016,47.11,38.75,161.88,108.36,64.97,87.75,41.9,115.12,103,61.65,44.02,89.96,215.7,68.6,50.02,66.05,13.03,116.47,73.53,238.42,59.37,46.85,90.13,50.45,54.08,82.95,96.29,71.03,69.44,70.89,125.09,29.91,6.84,48.74,147.71,170.63,100.76,116.83,784.48,79.68,95.21,125.85,112.27,47.98,55.13,57.18,145.517,62.87,114.52,43.38
9/8/2016,47.02,39.35,158.87,105.52,64.06,87.27,41.85,112.3,101.88,61.41,43.24,89.47,217.26,68.81,49.85,66.1,12.95,116.54,72.94,241.69,59.04,45.55,89.95,50.29,53.5,80.92,95.4,71.32,69.22,69.88,130.06,29.79,6.225,48.47,147.53,170.97,100.75,116.25,784.06,81.5,94.62,127.67,111.6,48.415,59.05,59.06,144.121,62.89,113.59,43.3
9/9/2016,44.88,38.49,152.96,103.13,63.36,85.31,41.01,110.39,99.38,59.62,42.02,86.57,208.66,66.84,48.06,63.71,12.33,115.55,72.4,236.39,58.67,43.83,89.23,49.17,52.5,76.82,91.79,68.86,67.96,66.83,124.92,28.86,5.9,47.78,144.01,166.55,99.41,110.19,760.14,79.14,92.61,126.89,108.93,45.54,59.4,57.77,140.09016,61.29,106.31,42.29
9/12/2016,45.75,38.34,153.37,105.44,64.08,86.95,41.42,112.76,100.32,60.62,42.96,88.14,216.49,67.35,48.86,64.71,12.59,116.22,73.42,240.23,58.99,44.53,90.3,50.19,53.09,77.44,93.12,69.79,68.48,67.38,129.29,29.59,5.94,48.5,147.68,172.04,101.52,111.27,771.49,81.54,93.53,128.58,111.11,46.505,59.9,57.79,139.21188,62.17,108.82,43.46
9/13/2016,44.9,37.37,151.18,107.95,63.34,85.25,40.64,110.53,98.77,60.45,42,86.69,213.41,65.78,48.1,63.81,12.39,113.99,71.83,240.1,58.23,43.3,88.47,49.62,51.87,76.09,91.98,68.32,67.92,66.58,126.79,29.38,5.74,47.91,144.76,169.3,99.24,108.11,761.01,81.15,92.34,124.57,109.57,45.8,57.51,57.59,136.55856,61.61,104.43,43.41
9/14/2016,44.86,36.39,150.72,111.77,63.34,83.85,40.81,109.8,98.79,60.92,41.98,86.69,213.21,65.51,48.49,64.02,12.32,112.81,71.8,244.81,58.08,43.68,87.33,49.42,51.65,75.72,92.35,66.65,67.39,66.09,129.42,29.43,6.04,47.51,143.91,170.14,99.21,108.37,761.09,79.76,92.4,123.29,108.98,45.855,56.75,55.62,135.73575,61.78,105.18,43.66
9/15/2016,45.44,36.41,148.94,115.57,63.35,84.2,41.12,110.72,99.62,62.65,42.28,87.48,215.4,67.39,48.65,64.3,12.55,114.43,72.34,246.44,58.59,43.84,87.88,50.02,51.38,77.25,92.93,66.81,67.82,66.85,129.7,30.15,6.02,47.6,146.74,172.64,100.92,109.08,769.69,81.25,93.58,124.34,110.31,46.64,58.7,56.93,135.51387,62.79,105.67,44.59
9/16/2016,44.79,35.49,148.11,114.92,63.27,84.11,41.87,109.88,98.93,62.05,42.03,86.75,214.48,67.6,49.38,64.81,12.54,115.06,71.34,245.19,57.9,43.78,87.86,49.65,50.98,76.73,93.84,65.7,67.41,66.25,131.46,30.05,6.05,46.77,144.55,172.96,99.31,108,778.52,81.98,91.92,125.52,109.4,46.07,58.56,57.52,134.79276,62.95,106.25,44.42
9/19/2016,44.95,35.44,148.44,113.58,62.91,83.26,41.68,110.5,99.68,62.46,42.18,86.56,216.04,68.13,50.04,65.42,12.7,114.83,72.02,245.29,57.84,44.17,89.62,49.9,51.62,77.64,94.13,65.69,67.46,67.37,131.18,30.3,6.16,47.09,145.19,171.38,99.96,109.2,775.1,83.54,92.12,126.32,109.98,46.58,57.85,57.52,135.71725,63.76,108,44.12
9/20/2016,45.71,35.15,145.89,113.57,63.28,82.08,41.58,110.7,100.62,62.34,42.15,87.79,213.74,68.79,50.1,65.01,12.78,114.63,72.45,238.67,57.84,44.64,89.3,50.08,51.36,76.79,93.7,65.5,67.87,67.36,131.73,30.39,6.17,46.78,142.85,173.38,99.37,108.65,780.22,81.02,92.06,125.76,110.31,46.64,57.49,58.28,135.96687,64.13,108.06,44.13
9/21/2016,46.04,34.67,146.33,113.55,64.1,83.02,41.92,111.7,107.78,63.3,42.81,88.88,215.63,71.69,51.14,66.19,13.1,116.69,73.5,238.41,58.09,45.38,90.7,50.66,52.21,80.19,95.34,66.7,68.66,67.88,130.36,30.57,6.29,47.33,144.63,173.85,100.86,110.1,789.74,81.79,93.22,128.59,112.11,47.43,60.89,61.06,137.5108,64.9,110.36,44.67
9/22/2016,46.67,35.25,149.15,114.62,65.08,83.59,42.22,113.66,107.92,63.68,42.98,89.46,218.06,72.35,51.41,66.6,13.19,116.93,73.52,243.43,58.99,46.58,91.28,51.1,52.43,81.2,95.67,66.04,68.94,69.05,133.69,30.29,6.37,48.11,147.29,175.62,100.89,112.28,804.7,82.95,93.21,128.42,113.36,48.45,61,61.21,136.96533,65.68,113.03,44.51
9/23/2016,46.61,35.55,149.24,112.71,64.98,83.33,42.19,113.09,107.47,63.23,42.47,88.47,216.99,71.67,51.7,66.66,13.26,115.63,72.74,243.94,58.73,46.95,90.14,50.68,52.25,80.75,94.13,65.77,68.49,68.67,127.22,29.66,6.55,47.37,144.43,174.8,99.64,112.99,805.75,83.61,92.3,126.56,112.15,48.44,60.02,59.5,136.32744,64.42,113.39,44.36
