Date,Mkt-RF,SMB,HML,RF
9/1/2016,0.0003,0.0012,-0.0049,0.00001
9/2/2016,0.0053,0.0039,0.0036,0.00001
9/6/2016,0.0026,0.0006,-0.0053,0.00001
9/7/2016,0.0009,0.0061,0.0003,0.00001
9/8/2016,-0.0018,-0.0002,0.0058,0.00001
9/9/2016,-0.0247,-0.0055,0.003,0.00001
9/12/2016,0.0144,0,-0.0047,0.00001
9/13/2016,-0.0148,-0.0025,-0.0047,0.00001
9/14/2016,-0.0008,0.0012,-0.0082,0.00001
9/15/2016,0.0107,0.0031,-0.0032,0.00001
9/16/2016,-0.0036,0.0032,-0.0046,0.00001
9/19/2016,0.0005,0.0039,0.0016,0.00001
9/20/2016,-0.0002,-0.0021,-0.0052,0.00001
9/21/2016,0.0112,0.0014,0.0033,0.00001
9/22/2016,0.007,0.0084,-0.0006,0.00001
9/23/2016,-0.006,-0.001,-0.002,0.00001
9/26/2016,-0.0088,-0.0022,-0.0035,0.00001
9/27/2016,0.0064,-0.0007,-0.0052,0.00001
9/28/2016,0.0056,0.0021,0.011,0.00001
9/29/2016,-0.0098,-0.0041,0.0055,0.00001
9/30/2016,0.0088,0.0037,0.0035,0.00001
10/3/2016,-0.0026,0.0002,-0.0021,0.00001
10/4/2016,-0.0046,-0.0001,0.0017,0.00001
10/5/2016,0.0058,0.0029,0.0079,0.00001
10/6/2016,-0.0006,-0.0027,0.0037,0.00001
10/7/2016,-0.0038,-0.0051,0.0016,0.00001
10/10/2016,0.0052,0.0057,0.0001,0.00001
10/11/2016,-0.013,-0.0059,0.0049,0.00001
10/12/2016,0.0006,-0.0023,0.0037,0.00001
10/13/2016,-0.0042,-0.0068,-0.0063,0.00001
10/14/2016,0.0001,-0.0035,0.0057,0.00001
10/17/2016,-0.0029,-0.0005,0.0014,0.00001
10/18/2016,0.006,-0.0016,0.0003,0.00001
10/19/2016,0.0025,0.0004,0.0091,0.00001
10/20/2016,-0.0016,-0.0002,-0.0011,0.00001
10/21/2016,0.0002,-0.0012,-0.0032,0.00001
10/24/2016,0.0054,0.0006,-0.0016,0.00001
10/25/2016,-0.0046,-0.0058,0.0022,0.00001
10/26/2016,-0.0023,-0.0085,0.0074,0.00001
10/27/2016,-0.0033,-0.0096,0.006,0.00001
10/28/2016,-0.0029,-0.001,0.001,0.00001
10/31/2016,0.0002,0.0003,0.0014,0.00001
11/1/2016,-0.0068,-0.0035,0.0017,0.00001
11/2/2016,-0.0073,-0.0066,0.0036,0.00001
11/3/2016,-0.004,-0.0046,0.0102,0.00001
11/4/2016,-0.0012,0.0086,-0.0043,0.00001
11/7/2016,0.0223,0.002,-0.0015,0.00001
11/8/2016,0.004,-0.0008,-0.0019,0.00001
11/9/2016,0.0146,0.0182,0.0099,0.00001
11/10/2016,0.0032,0.0113,0.018,0.00001
11/11/2016,0.0018,0.025,-0.0004,0.00001
11/14/2016,0.0021,0.0058,0.0142,0.00001
11/15/2016,0.008,-0.0055,0.0015,0.00001
11/16/2016,-0.0012,0.003,-0.0056,0.00001
11/17/2016,0.0056,0.0013,-0.0013,0.00001
11/18/2016,-0.0016,0.0056,0.0039,0.00001
11/21/2016,0.0077,-0.0025,0.0009,0.00001
11/22/2016,0.0031,0.0054,0.0059,0.00001
11/23/2016,0.0016,0.0052,0.0018,0.00001
11/25/2016,0.004,-0.0008,-0.0025,0.00001
11/28/2016,-0.0064,-0.0077,0.0006,0.00001
11/29/2016,0.0011,-0.0035,-0.0007,0.00001
11/30/2016,-0.0025,-0.004,0.0224,0.00001
12/1/2016,-0.0036,-0.0067,0.0204,0.00001
12/2/2016,0,0.0005,-0.0032,0.00001
12/5/2016,0.0075,0.011,0.0028,0.00001
12/6/2016,0.0048,0.0063,0.0023,0.00001
12/7/2016,0.0126,-0.0062,0.0053,0.00001
12/8/2016,0.0036,0.0115,0.0059,0.00001
12/9/2016,0.0046,-0.0027,0.0013,0.00001
12/12/2016,-0.003,-0.0094,-0.001,0.00001
12/13/2016,0.006,-0.0051,-0.0028,0.00001
12/14/2016,-0.0082,-0.0035,-0.0028,0.00001
12/15/2016,0.0046,0.0037,0.0028,0.00001
12/16/2016,-0.0022,0.0005,-0.0042,0.00001
12/19/2016,0.0022,0.0031,0.0009,0.00001
12/20/2016,0.0044,0.0043,0.0068,0.00001
12/21/2016,-0.0024,-0.0038,0.0023,0.00001
12/22/2016,-0.003,-0.0075,0.0024,0.00001
12/23/2016,0.0019,0.0056,-0.0051,0.00001
12/27/2016,0.0027,0.0021,0.0013,0.00001
12/28/2016,-0.0087,-0.0027,0.0009,0.00001
12/29/2016,-0.0004,0.0013,-0.0031,0.00001
12/30/2016,-0.0052,-0.0011,0.002,0.00001
1/3/2017,0.0083,-0.0011,0.0008,0.00002
1/4/2017,0.0079,0.0095,-0.0015,0.00002
1/5/2017,-0.0021,-0.0087,-0.008,0.00002
1/6/2017,0.0029,-0.0062,-0.0031,0.00002
1/9/2017,-0.0037,-0.0027,-0.0104,0.00002
1/10/2017,0.0016,0.0097,0.0056,0.00002
1/11/2017,0.0031,-0.0032,0.0053,0.00002
1/12/2017,-0.003,-0.0057,-0.0088,0.00002
1/13/2017,0.0029,0.0063,-0.0008,0.00002
1/17/2017,-0.0049,-0.0086,-0.0059,0.00002
1/18/2017,0.0024,0.0018,0.0024,0.00002
1/19/2017,-0.0038,-0.005,-0.0004,0.00002
1/20/2017,0.0033,0.0007,0.0019,0.00002
1/23/2017,-0.0029,-0.0002,-0.0031,0.00002
1/24/2017,0.0083,0.0068,0.0081,0.00002
1/25/2017,0.0084,0.0016,0.0036,0.00002
1/26/2017,-0.001,-0.0062,0.0038,0.00002
1/27/2017,-0.0012,0.0003,-0.0066,0.00002
1/30/2017,-0.0068,-0.0072,-0.0042,0.00002
1/31/2017,0,0.0088,-0.0055,0.00002
2/1/2017,0.0004,-0.0004,0.0003,0.00002
2/2/2017,-0.0002,-0.0026,-0.0031,0.00002
2/3/2017,0.0082,0.0055,0.0064,0.00002
2/6/2017,-0.0027,-0.0057,-0.002,0.00002
2/7/2017,-0.0001,-0.003,-0.0052,0.00002
2/8/2017,0.0006,-0.0024,-0.0053,0.00002
2/9/2017,0.0072,0.007,0.0002,0.00002
2/10/2017,0.0038,0.0039,0.0012,0.00002
2/13/2017,0.0049,-0.0032,0.0032,0.00002
2/14/2017,0.0045,-0.0023,0.0033,0.00002
2/15/2017,0.0054,0.0019,-0.0044,0.00002
2/16/2017,-0.0016,-0.0021,-0.0003,0.00002
2/17/2017,0.002,-0.0001,-0.0057,0.00002
2/21/2017,0.006,-0.0004,0.0013,0.00002
2/22/2017,-0.0015,-0.0037,0.0011,0.00002
2/23/2017,-0.0011,-0.0068,0.0026,0.00002
2/24/2017,0.0015,0.0004,-0.0092,0.00002
2/27/2017,0.0022,0.0082,-0.0034,0.00002
2/28/2017,-0.0042,-0.0138,0.002,0.00002
3/1/2017,0.0147,0.0043,0.0072,0.00001
3/2/2017,-0.007,-0.0053,-0.0088,0.00001
3/3/2017,0.0009,-0.0021,0.0013,0.00001
3/6/2017,-0.0038,-0.0036,-0.001,0.00001
3/7/2017,-0.0036,-0.0029,-0.0005,0.00001
3/8/2017,-0.0019,-0.001,-0.0082,0.00001
3/9/2017,0.0004,-0.0046,-0.0027,0.00001
3/10/2017,0.0034,0.001,-0.0038,0.00001
3/13/2017,0.0013,0.0033,-0.0003,0.00001
3/14/2017,-0.0036,-0.0023,0.0002,0.00001
3/15/2017,0.0086,0.0073,-0.0041,0.00001
3/16/2017,-0.0006,0.0045,0.0024,0.00001
3/17/2017,-0.0008,0.0062,-0.0026,0.00001
3/20/2017,-0.0025,-0.0007,-0.0075,0.00001
3/21/2017,-0.0148,-0.0134,-0.0069,0.00001
3/22/2017,0.0016,-0.003,-0.0054,0.00001
3/23/2017,-0.0003,0.0069,0.0046,0.00001
3/24/2017,-0.0005,0.0013,-0.0023,0.00001
3/27/2017,-0.0005,0.0056,-0.0052,0.00001
3/28/2017,0.0072,-0.0015,0.0071,0.00001
3/29/2017,0.0018,0.0039,-0.0006,0.00001
3/30/2017,0.0036,0.0033,0.0092,0.00001
