Date,Stock,Size,Volatility,POV,Cost
9/1/2016,A,0.119906543,0.186897017,0.180620501,23.79527129
9/2/2016,A,0.117150017,0.186781906,0.155919391,34.02353897
9/6/2016,A,0.028421595,0.184396989,0.036825908,1.962605147
9/7/2016,A,0.188879563,0.17723779,0.230717968,46.52534151
9/8/2016,A,0.00501084,0.176427786,0.010624614,0.886091515
9/9/2016,A,0.021208787,0.175729626,0.015675994,-4.425694389
9/12/2016,A,0.098786025,0.217700812,0.100739117,35.30203173
9/13/2016,A,0.252701467,0.226532406,0.136517312,25.92906193
9/14/2016,A,0.331556784,0.229022784,0.399175975,57.98454816
9/15/2016,A,0.389724104,0.229034299,0.434320989,103.0231282
9/16/2016,A,0.257230271,0.232597443,0.192452321,41.18360104
9/19/2016,A,0.284466538,0.231151206,0.290627107,59.72762768
9/20/2016,A,0.051299516,0.231465902,0.043803967,23.95290182
9/21/2016,A,0.349312111,0.237102422,0.438881503,97.15298682
9/22/2016,A,0.159443964,0.238308429,0.249641566,53.69940147
9/23/2016,A,0.328584439,0.238644521,0.34669847,84.88188746
9/26/2016,A,0.25011373,0.238613849,0.197532455,45.81046622
9/27/2016,A,0.255785068,0.237576364,0.34180915,81.69000758
9/28/2016,A,0.025758774,0.237803527,0.03593931,-2.125297431
9/29/2016,A,0.134274821,0.239851173,0.141366967,37.26343981
9/30/2016,A,0.435192631,0.220466793,0.496147786,103.3585395
10/3/2016,A,0.341535815,0.217299762,0.422180726,103.2650097
10/4/2016,A,0.408541767,0.217335982,0.426874378,110.6780871
10/5/2016,A,0.251121314,0.217461278,0.323961717,61.61831455
10/6/2016,A,0.219166488,0.206869289,0.227549511,50.79949611
10/7/2016,A,0.16303511,0.204069655,0.177617223,49.49905498
10/10/2016,A,0.148441936,0.20409624,0.172496599,32.11200472
10/11/2016,A,0.256785388,0.204152479,0.158178248,43.41240462
10/12/2016,A,0.281412186,0.238432437,0.299353254,67.31160367
10/13/2016,A,0.047807597,0.238593276,0.065492884,21.84912512
10/14/2016,A,0.021166629,0.239137999,0.038610542,6.205505939
10/17/2016,A,0.138547517,0.239091738,0.216147083,38.44961652
10/18/2016,A,0.158653954,0.239251578,0.146631177,43.07936484
10/19/2016,A,0.134897417,0.23994464,0.138602332,30.75455106
10/20/2016,A,0.223369358,0.243384219,0.272963187,53.86141872
10/21/2016,A,0.252394492,0.199512138,0.460577056,101.1723504
10/24/2016,A,0.328401519,0.194147469,0.353879169,94.67807181
10/25/2016,A,0.026815151,0.186434421,0.012153102,-3.607936123
10/26/2016,A,0.310470278,0.243103548,0.261301719,50.45157224
10/27/2016,A,0.245842628,0.239451009,0.187372709,41.99735879
10/28/2016,A,0.317387024,0.236300866,0.398274236,74.01993706
10/31/2016,A,0.202715081,0.235981431,0.235553026,56.2528703
11/1/2016,A,0.326622106,0.231353769,0.275090525,52.54101934
11/2/2016,A,0.107603492,0.229784557,0.085965717,12.57621157
11/3/2016,A,0.616679289,0.225011005,0.444890827,107.4490432
11/4/2016,A,0.110647251,0.22765712,0.092214536,7.238844525
11/7/2016,A,0.421729473,0.233221468,0.454941742,84.54859582
11/8/2016,A,0.273285946,0.251895148,0.233954529,60.60926558
11/9/2016,A,0.24113152,0.249690745,0.127240526,46.6913676
11/10/2016,A,0.076430267,0.246333716,0.057176981,21.71463629
11/11/2016,A,0.458537643,0.252452461,0.399773798,103.6674003
11/14/2016,A,0.111211118,0.255778398,0.062993727,15.03737497
11/15/2016,A,0.132237753,0.263410876,0.056537238,31.50057825
11/16/2016,A,0.329308208,0.262446861,0.172719764,46.77190901
11/17/2016,A,0.209553292,0.267661729,0.222494928,32.44326131
11/18/2016,A,0.536176875,0.267849275,0.37607931,100.0626706
11/21/2016,A,0.056910615,0.272296904,0.050589217,2.485935295
11/22/2016,A,0.499760588,0.242296914,0.404418439,80.56034706
11/23/2016,A,0.38481259,0.244097581,0.457151757,90.90703447
11/25/2016,A,0.126028084,0.243810949,0.329707914,50.64526858
11/28/2016,A,0.195092587,0.244349171,0.198367826,51.62272472
11/29/2016,A,0.064844999,0.258661403,0.077095749,-20.59417007
11/30/2016,A,0.343541836,0.265217341,0.360229164,80.93591483
12/1/2016,A,0.124355035,0.263727879,0.103815678,34.40697877
12/2/2016,A,0.216629676,0.267805069,0.240629854,51.817513
12/5/2016,A,0.026718058,0.273456431,0.025851496,9.834310045
12/6/2016,A,0.09449764,0.275105428,0.204810946,30.46183249
12/7/2016,A,0.318819779,0.227145766,0.429585542,82.66632044
12/8/2016,A,0.258974603,0.226863642,0.332623736,65.79468894
12/9/2016,A,0.038649514,0.231983347,0.047171223,3.383052757
12/12/2016,A,0.124231688,0.232798858,0.157654422,9.167083988
12/13/2016,A,0.123014955,0.232742753,0.167523886,38.87208214
12/14/2016,A,0.017523525,0.232654345,0.02030281,-1.155299807
12/15/2016,A,0.137785181,0.232683731,0.243407859,57.94089553
12/16/2016,A,0.277275165,0.232645961,0.307870794,55.28610689
12/19/2016,A,0.083087028,0.234029444,0.177925111,5.667976218
12/20/2016,A,0.04006532,0.218202474,0.058942286,3.760017474
12/21/2016,A,0.300695652,0.223888215,0.414576636,56.96978634
12/22/2016,A,0.121932754,0.223294318,0.284830259,32.2649151
12/23/2016,A,0.043307122,0.211690441,0.129589573,10.23936499
12/27/2016,A,0.211629335,0.208345092,0.291698605,48.26336739
12/28/2016,A,0.182839101,0.197518729,0.325157673,53.14298823
12/29/2016,A,0.063623784,0.204452829,0.144043401,21.20357054
12/30/2016,A,0.262743033,0.19801524,0.408519036,66.8908598
1/3/2017,A,0.196646617,0.197525838,0.203135436,34.8007438
1/4/2017,A,0.255248447,0.197178149,0.250320656,48.32552454
1/5/2017,A,0.130951936,0.200061553,0.151686137,21.51730064
1/6/2017,A,0.444557162,0.200390046,0.263223331,72.94140667
1/9/2017,A,0.344283044,0.21780643,0.228475751,42.71401608
1/10/2017,A,0.1157917,0.217641834,0.128416346,-6.763694005
1/11/2017,A,0.632059449,0.195747203,0.197054512,63.73486692
