,Volatility
,volatility_mean
Stock,
A,0.1905879788134919
AAL,0.2851221777658728
AAP,0.28049961071825413
AAPL,0.17070823616269848
ABBV,0.16975526719841272
ABC,0.26992364809523833
ABT,0.15754170964682535
ACN,0.1594461538492063
ADBE,0.16404962719047608
ADI,0.21125910065079362
ADM,0.21102321151190498
ADP,0.1747609555238095
ADS,0.2523527979523811
ADSK,0.2868640790912697
AEE,0.14818266774206346
AEP,0.1385193047380952
AES,0.24292134221825418
AET,0.16296073452380963
AFL,0.12563053229365076
AGN,0.20837441054365063
AIG,0.15977184368650799
AIV,0.17742828548412698
AIZ,0.18961630475396846
AJG,0.1294745113611111
AKAM,0.32314667514682527
ALB,0.24449790990873022
ALGN,0.26152685232539685
ALK,0.23853054280555563
ALL,0.11351865738095235
ALLE,0.173964381956349
ALXN,0.37615522521428585
AMAT,0.24062836585317463
AMD,0.6152006779246032
AME,0.15951414315873014
AMG,0.23266347313888897
AMGN,0.20645551409920632
AMP,0.23879977093650787
AMT,0.1661170791150793
AMZN,0.1834154522619047
ANDV,0.2497372733373014
ANSS,0.16420135432142854
ANTM,0.19000391868650793
AON,0.12573936895238097
AOS,0.17819224759126995
APA,0.3208552299642858
APC,0.303378222031746
APD,0.14024565918650791
APH,0.12538940289285716
ARE,0.17758979007142853
ATVI,0.2582604260277779
